121 	DeMar DeRozan 	SG 	24 	TOR 	53 	53 	37.8 	7.8 	18.2 	.427 	0.9 	3.0 	.304 	6.8 	15.2 	.452 	5.8 	7.2 	.802 	0.8 	3.8 	4.6 	3.8 	1.1 	0.4 	2.2 	2.2 	22.3
122 	Boris Diaw 	PF 	31 	SAS 	53 	18 	25.1 	4.1 	7.5 	.549 	0.5 	1.2 	.424 	3.6 	6.2 	.574 	0.9 	1.2 	.754 	0.8 	2.8 	3.6 	2.5 	0.6 	0.4 	1.5 	1.7 	9.7
123 	Gorgui Dieng 	C 	24 	MIN 	35 	0 	6.6 	0.6 	1.5 	.423 	0.0 	0.0 	0.0	0.6 	1.5 	.423 	0.3 	0.7 	.391 	0.6 	1.7 	2.3 	0.3 	0.3 	0.6 	0.5 	1.4 	1.5
125 	Chris Douglas-Roberts 	SF 	27 	CHA 	25 	4 	16.4 	1.5 	3.3 	.451 	0.6 	1.7 	.372 	0.8 	1.6 	.538 	0.7 	0.9 	.783 	0.2 	1.7 	1.8 	0.6 	0.3 	0.3 	0.8 	0.8 	4.3
126 	Goran Dragic 	SG 	27 	PHO 	51 	50 	34.6 	7.0 	13.9 	.502 	1.5 	3.7 	.404 	5.5 	10.3 	.537 	4.5 	5.9 	.770 	1.0 	2.5 	3.5 	6.3 	1.4 	0.2 	2.9 	2.5 	20.0
127 	Andre Drummond 	C 	20 	DET 	56 	56 	32.3 	5.8 	9.4 	.613 	0.0 	0.0 	.000 	5.8 	9.4 	.615 	1.6 	3.9 	.395 	5.4 	7.4 	12.8 	0.4 	1.4 	1.8 	1.4 	3.4 	13.1
128 	Jared Dudley 	SF 	28 	LAC 	57 	42 	25.9 	2.9 	6.7 	.442 	1.2 	3.4 	.352 	1.7 	3.2 	.538 	0.5 	0.7 	.643 	0.5 	1.6 	2.2 	1.5 	0.6 	0.1 	0.8 	2.2 	7.6
129 	Tim Duncan 	C 	37 	SAS 	51 	51 	29.5 	6.2 	12.6 	.491 	0.0 	0.1 	.000 	6.2 	12.6 	.495 	3.1 	4.4 	.714 	2.1 	7.8 	10.0 	2.9 	0.5 	2.0 	2.2 	1.7 	15.6
130 	Mike Dunleavy 	SF 	33 	CHI 	54 	33 	29.7 	4.0 	9.2 	.433 	1.4 	3.8 	.376 	2.6 	5.4 	.474 	1.5 	1.9 	.810 	0.5 	3.5 	4.0 	2.1 	0.8 	0.5 	1.4 	1.8 	10.9
131 	Kevin Durant 	SF 	25 	OKC 	55 	55 	38.2 	10.3 	20.3 	.509 	2.2 	5.4 	.405 	8.1 	14.9 	.547 	8.5 	9.7 	.879 	0.8 	7.0 	7.8 	5.5 	1.5 	0.8 	3.6 	2.3 	31.4
133 	Monta Ellis 	PG 	28 	DAL 	57 	57 	36.4 	7.0 	15.2 	.458 	0.7 	2.2 	.305 	6.3 	13.0 	.484 	4.3 	5.4 	.797 	0.5 	2.9 	3.4 	5.8 	1.8 	0.3 	3.3 	2.5 	18.9
134 	Jeremy Evans 	SF 	26 	UTA 	40 	3 	19.3 	3.1 	5.6 	.545 	0.0 	0.1 	.000 	3.1 	5.6 	.550 	1.0 	1.4 	.702 	2.1 	3.3 	5.4 	0.8 	0.6 	0.6 	0.5 	2.3 	7.1
136 	Tyreke Evans 	SF 	24 	NOP 	47 	0 	24.7 	4.5 	11.2 	.402 	0.2 	1.1 	.154 	4.3 	10.1 	.429 	3.1 	3.9 	.783 	0.9 	3.4 	4.4 	4.3 	1.1 	0.3 	2.1 	2.2 	12.3
